Country,ISO3,Year,consumption_gdp
Indonesia,IDN,2011,55.4233565438929
Indonesia,IDN,2012,56.389246489545
Indonesia,IDN,2013,56.8294623585841
Indonesia,IDN,2014,57.1391165860159
Indonesia,IDN,2015,57.4500178976655
Indonesia,IDN,2016,57.826800813929
Indonesia,IDN,2017,57.2755729741479
Indonesia,IDN,2018,56.97989563222
Indonesia,IDN,2019,57.9304645761067
Indonesia,IDN,2020,58.933892283434
Indonesia,IDN,2021,55.6288131852593
Indonesia,IDN,2022,53.0461750807275
Iran,IRN,2000,49.727166888436
Iran,IRN,2001,50.2207851511565
Iran,IRN,2002,46.5945663442645
Iran,IRN,2003,44.4422978366207
Iran,IRN,2004,42.6781267808106
Iran,IRN,2005,41.2033637241402
Iran,IRN,2006,41.4366001597637
Iran,IRN,2007,41.4252405405464
Iran,IRN,2008,41.6603977546837
Iran,IRN,2009,44.4955836314725
Iran,IRN,2010,42.9220084537587
Iran,IRN,2011,42.2729458066133
Iran,IRN,2012,47.8055993295147
Iran,IRN,2013,46.8466512216947
Iran,IRN,2014,47.3489294074271
Iran,IRN,2015,53.4215909836335
Iran,IRN,2016,51.0383219921872
Iran,IRN,2017,48.9161327205906
Iran,IRN,2018,48.0231938413085
Iran,IRN,2019,49.0765673817761
Iran,IRN,2020,46.2693803807801
Iran,IRN,2021,43.1441369239907
Iran,IRN,2022,45.2805310978502
Ireland,IRL,2000,46.923425403291
Ireland,IRL,2001,45.5727475066708
Ireland,IRL,2002,44.5612694561285
Ireland,IRL,2003,44.4646578225959
Ireland,IRL,2004,43.7650662004879
Ireland,IRL,2005,43.634642464144
Ireland,IRL,2006,43.8194188273661
Ireland,IRL,2007,45.1901014605028
Ireland,IRL,2008,48.3815734609481
Ireland,IRL,2009,47.2755906136085
Ireland,IRL,2010,47.4036140063274
Ireland,IRL,2011,45.5886190225607
Ireland,IRL,2012,44.8721212522172
Ireland,IRL,2013,44.0278543819864
Ireland,IRL,2014,41.6030922324864
Ireland,IRL,2015,31.8117725685217
Ireland,IRL,2016,33.0531361735836
Ireland,IRL,2017,30.8011221666782
Ireland,IRL,2018,30.0033572558655
Ireland,IRL,2019,28.8163125257306
Ireland,IRL,2020,24.6358280441269
Ireland,IRL,2021,23.6226821885586
Ireland,IRL,2022,23.8288794152457
Japan,JPN,2000,53.6687711295312
Japan,JPN,2001,54.4220591629254
Japan,JPN,2002,55.062464881796
Japan,JPN,2003,54.8971255147732
Japan,JPN,2004,54.7302620754895
Japan,JPN,2005,54.8019438303779
Japan,JPN,2006,55.0290169370417
Japan,JPN,2007,54.8352929461541
Japan,JPN,2008,55.7637984494068
Japan,JPN,2009,57.614119252012
Japan,JPN,2010,56.8685654241306
Japan,JPN,2011,57.220068232134
Japan,JPN,2012,57.6791194439999
Japan,JPN,2013,58.1384610122339
Japan,JPN,2014,57.6315845269279
Japan,JPN,2015,55.7707966603492
Japan,JPN,2016,54.701499693404
Japan,JPN,2017,54.6136947563884
Japan,JPN,2018,54.7746699289169
Japan,JPN,2019,54.5545811265887
Japan,JPN,2020,54.0530506946727
Japan,JPN,2021,53.5366108343646
Japan,JPN,2022,55.5756453206758
Jordan,JOR,2000,80.6141330621635
Jordan,JOR,2001,81.0440467023901
Jordan,JOR,2002,76.4100677068001
Jordan,JOR,2003,76.9377619765656
Jordan,JOR,2004,81.5595298421684
Jordan,JOR,2005,87.8181858922649
Jordan,JOR,2006,85.0197650673511
Jordan,JOR,2007,86.6543569114604
Jordan,JOR,2008,74.3898857118373
Jordan,JOR,2009,68.5402021778117
Jordan,JOR,2010,65.9434172881694
Jordan,JOR,2011,73.7853847301006
Jordan,JOR,2012,77.2599453402249
Jordan,JOR,2013,83.9933445483886
Jordan,JOR,2014,81.6418520069025
Jordan,JOR,2015,79.6115377445396
Jordan,JOR,2016,79.2692728795043
Jordan,JOR,2017,78.9926487517031
Jordan,JOR,2018,76.6042986523784
Jordan,JOR,2019,74.6934820940804
