Country,ISO3,Year,Dependency_Ratio
Ecuador,ECU,2050,52.1391473414591
Egypt,EGY,2000,69.3934549848784
Egypt,EGY,2001,67.9402422543577
Egypt,EGY,2002,66.5601461970724
Egypt,EGY,2003,65.2038092373218
Egypt,EGY,2004,63.9117037732315
Egypt,EGY,2005,62.7803568410348
Egypt,EGY,2006,61.8838704393503
Egypt,EGY,2007,61.265715476536
Egypt,EGY,2008,60.9075568307342
Egypt,EGY,2009,60.7595365780542
Egypt,EGY,2010,60.8163918784867
Egypt,EGY,2011,60.9062133572649
Egypt,EGY,2012,61.0406937301322
Egypt,EGY,2013,61.261463210988
Egypt,EGY,2014,61.5419614141439
Egypt,EGY,2015,61.9778656218534
Egypt,EGY,2016,62.3353502105713
Egypt,EGY,2017,62.5250399173232
Egypt,EGY,2018,62.4836024422364
Egypt,EGY,2019,62.1682059377755
Egypt,EGY,2020,61.7215527133255
Egypt,EGY,2021,61.1155654480444
Egypt,EGY,2022,60.4614725337186
Egypt,EGY,2023,59.7566710357047
Egypt,EGY,2024,59.0101954565221
Egypt,EGY,2025,58.2966196543545
Egypt,EGY,2026,57.5442080992515
Egypt,EGY,2027,56.689221997272
Egypt,EGY,2028,55.6912166688037
Egypt,EGY,2029,54.6326803393232
Egypt,EGY,2030,53.5752253067713
Egypt,EGY,2031,52.6456266068747
Egypt,EGY,2032,51.8847962846022
Egypt,EGY,2033,51.3827171511088
Egypt,EGY,2034,51.2006605331138
Egypt,EGY,2035,51.1403142530164
Egypt,EGY,2036,51.1658788528685
Egypt,EGY,2037,51.2622734773817
Egypt,EGY,2038,51.3517719225738
Egypt,EGY,2039,51.4356808515267
Egypt,EGY,2040,51.5379588756511
Egypt,EGY,2041,51.6679736147955
Egypt,EGY,2042,51.8111800001736
Egypt,EGY,2043,51.9582612256358
Egypt,EGY,2044,52.097446204019
Egypt,EGY,2045,52.2138038077939
Egypt,EGY,2046,52.2978087432598
Egypt,EGY,2047,52.3578906854298
Egypt,EGY,2048,52.4127812967976
Egypt,EGY,2049,52.4548703723557
Egypt,EGY,2050,52.4761232655402
Ethiopia,ETH,2000,101.46430009787
Ethiopia,ETH,2001,101.754115332976
Ethiopia,ETH,2002,101.674390682263
Ethiopia,ETH,2003,101.340739685498
Ethiopia,ETH,2004,100.865326232135
Ethiopia,ETH,2005,100.274720261847
Ethiopia,ETH,2006,99.5005779580924
Ethiopia,ETH,2007,98.4515480078218
Ethiopia,ETH,2008,97.173034670864
Ethiopia,ETH,2009,95.6889158629572
Ethiopia,ETH,2010,93.9987555506378
Ethiopia,ETH,2011,92.165961714092
Ethiopia,ETH,2012,90.2361319500354
Ethiopia,ETH,2013,88.2761548188989
Ethiopia,ETH,2014,86.3346598583257
Ethiopia,ETH,2015,84.4571795095968
Ethiopia,ETH,2016,82.662242576724
Ethiopia,ETH,2017,80.9854260551296
