Country,ISO3,Year,Dependency_Ratio,Health_Expenditure,Education_perGDP,RD_Expenditure,Contribution_revenue,GDP_percapita
"Iran, Islamic Rep.",IRN,2004,47.0765649654044,5.12801409,4.29663,0.504530012607574,12.9564680349856,2672.42266512669
"Iran, Islamic Rep.",IRN,2005,44.7919748324646,5.29996157,4.05651,0.622839987277985,10.4412212033858,3132.05081925856
"Iran, Islamic Rep.",IRN,2006,42.9687321027924,5.15990877,4.28999,0.559210002422333,12.4184467718275,3618.9160136791
"Iran, Islamic Rep.",IRN,2008,40.7584832601421,5.03990459,3.91376,0.646470010280609,14.9114524732299,5377.41150725587
"Iran, Islamic Rep.",IRN,2009,40.2589386476999,6.11493444,3.84245,0.272579997777939,18.6883106915343,5415.52280554144
"Iran, Islamic Rep.",IRN,2010,40.0629628816199,6.29153061,3.70918,0.264420002698898,,6291.19443652344
"Iran, Islamic Rep.",IRN,2012,40.2675281790404,6.12235117,3.16859,0.294349998235703,,8114.08099831877
"Iran, Islamic Rep.",IRN,2013,40.6107006323808,5.54722023,3.06795,0.236010000109673,,6222.74194840326
"Iran, Islamic Rep.",IRN,2015,42.0407182749515,7.53311825,2.79739,0.393830001354218,,4952.73355532178
"Iran, Islamic Rep.",IRN,2017,43.6705219756192,7.83454609,3.7904,0.759829998016357,,5753.11544659399
"Iran, Islamic Rep.",IRN,2019,44.7786947808427,6.27398872,,0.788290023803711,,3831.27894763337
Iraq,IRQ,2007,81.984975135042,3.2148056,,0.0455400012433529,,3128.99010329066
Iraq,IRQ,2008,81.0306304495879,3.06604242,,0.0343500003218651,,4542.96609046032
Iraq,IRQ,2009,80.1148477417428,3.77203989,,0.0456200018525124,,3714.71205987194
Iraq,IRQ,2010,79.3452096647587,3.23955345,,0.0368399992585182,,4461.75196161555
Iraq,IRQ,2011,78.8269184426333,2.80316377,,0.0347599983215332,,5775.54229080293
Iraq,IRQ,2014,77.4322732901079,2.78786659,,0.0383500009775162,0.0552157490265622,6249.39226978969
Iraq,IRQ,2015,76.7457689966644,3.15587044,,0.0401699990034103,0.0001511313502851,4440.14189252367
Iraq,IRQ,2016,75.941151388931,4.58949184,,0.0373700000345707,0.0001632678528434,4334.42096404188
Iraq,IRQ,2017,75.0599077602728,4.04064989,,0.0459600016474724,5.10218468301877e-05,4759.2846435467
Iraq,IRQ,2018,74.1065293195781,4.12989378,,0.0427899993956089,0.001750789796189,5646.68932074742
Iraq,IRQ,2019,73.0951419263335,4.28182745,,0.032660000026226,0.0004519446351242,5671.8568632942
Iraq,IRQ,2020,71.9840510727635,5.76473284,,0.0405299998819828,,4295.18945121228
Jordan,JOR,2002,73.5852701497681,9.2786417,,0.336890012025833,0.926388166935148,1706.26744384401
Jordan,JOR,2008,67.5290383241406,8.48880577,,0.42153999209404,0.447408407901401,3241.6524135556
Jordan,JOR,2016,60.9582989168769,6.97644138,3.51412,0.695469975471497,0.215005092225868,3986.71677010853
Japan,JPN,2000,46.6755835541567,7.03456163,3.51617,2.8584098815918,,39169.3595701504
Japan,JPN,2001,47.6058531225117,7.23947906,3.45707,2.92348003387451,,34406.1824638092
Japan,JPN,2002,48.5344482614523,7.35235405,3.46537,2.96514010429382,,32820.7936433254
Japan,JPN,2003,49.3482801823691,7.48654842,3.52369,2.99320006370544,,35387.0374203599
Japan,JPN,2004,50.2932483497693,7.53518438,3.48307,2.98125004768372,,38298.9801712303
Japan,JPN,2005,51.5938532384092,7.65818596,3.36862,3.13091993331909,,37812.8950199948
Japan,JPN,2006,53.0146521815892,7.68688869,3.32909,3.2276599407196,,35991.546002862
Japan,JPN,2007,54.3702199499157,7.77935696,3.33094,3.29257011413574,,35779.0245416427
Japan,JPN,2008,55.7290109699313,8.08909321,3.31915,3.29223990440369,,39876.3039685725
Japan,JPN,2009,56.7866882497385,8.9587822,,3.19589996337891,,41308.9968370512
Japan,JPN,2010,57.4033595360909,9.0630064,3.6395,3.10494995117188,,44968.1562349739
Japan,JPN,2011,58.5847537839962,10.48780155,3.64258,3.20536994934082,,48760.0789494211
Japan,JPN,2012,60.5362463320268,10.67169094,3.69226,3.17371010780334,,49145.2804308193
Japan,JPN,2013,62.6073022231989,10.67438698,3.66538,3.27895998954773,,40898.6478964744
Japan,JPN,2014,64.4653380797358,10.7290144,3.59059,3.36788010597229,,38475.3952461838
Japan,JPN,2015,66.0229941997136,10.74969959,,3.24071002006531,,34960.6393843385
