Country,ISO3,Year,Dependency_Ratio,Health_Expenditure,Education_perGDP,RD_Expenditure,Contribution_revenue,GDP_percapita
Kyrgyz Republic,KGZ,2015,58.150156918583,7.14930916,5.98551,0.119029998779297,17.4193427979539,1105.65202996955
Kyrgyz Republic,KGZ,2016,59.0639463884673,6.41248226,6.58615,0.111210003495216,18.515483436445,1103.27498361324
Kyrgyz Republic,KGZ,2017,59.488277666114,6.18586349,6.02619,0.107069998979568,17.9206059194295,1221.39056490366
"Korea, Rep.",KOR,2016,36.4600654674078,6.89293242,4.3331,3.9870400428772,25.9681961931965,29280.4403170048
Mexico,MEX,2000,64.8374720830817,4.24436522,3.99244,0.292050004005432,10.4772889886753,7524.02713693678
Mexico,MEX,2008,57.7194070815135,5.44587374,4.82007,0.424160003662109,9.50293778263388,10523.7685403244
Mexico,MEX,2009,56.7944957043171,5.84786463,5.18794,0.457480013370514,11.6928078546119,8423.56933214711
Mexico,MEX,2010,55.9321268636884,5.4897337,5.15922,0.473529994487762,11.4798185396187,9728.80078377082
Mexico,MEX,2011,55.1794320737435,5.30093002,5.10565,0.452679991722107,10.9022305240312,10664.4944032313
Mexico,MEX,2012,54.5632141554873,5.42140484,5.1031,0.402839988470078,11.137767030928,10744.1335242686
Mexico,MEX,2013,54.027488950612,5.5773263,4.69605,0.408060014247894,11.4997045729171,11216.8008505428
Mexico,MEX,2014,53.513139465276,5.35336781,5.26062,0.419620007276535,11.7900790205448,11391.3773497683
Mexico,MEX,2015,52.97209888579,5.52738619,5.23524,0.414770007133484,11.5545785227158,10021.2386118827
Mexico,MEX,2016,52.3968518760979,5.38499022,4.90949,0.376010000705719,10.914139643601,9097.92397674769
Mexico,MEX,2017,51.8182577831981,5.3117938,4.52282,0.319550007581711,10.6660796469127,9649.27816772402
Myanmar,MMR,2017,46.756347215943,5.08065701,2.08768,0.0321800000965595,0.555273134908011,1272.82241830603
Myanmar,MMR,2018,46.5323258218492,4.89992189,1.92289,0.0588099993765354,0.782551804921698,1298.21310320785
Myanmar,MMR,2019,46.396472048483,4.07903337,1.93208,0.0834100022912025,0.783736512344991,1425.98954211903
Mongolia,MNG,2000,62.8796894489998,6.07605076,5.55037,0.187570005655289,17.790193000277,476.02755082717
Mongolia,MNG,2002,57.2868846352447,5.49190998,7.21078,0.251729995012283,17.3398347759287,570.249213248399
Mongolia,MNG,2007,47.5020153723875,4.07522774,4.69013,0.238269999623299,8.65001776043708,1627.68787743359
Mongolia,MNG,2009,46.4101397882339,4.45980072,5.14485,0.304780006408691,16.6087941180713,1703.32756790019
Mongolia,MNG,2010,46.4948711694247,3.73945642,4.6451,0.244379997253418,13.1430602020587,2625.21881402433
Mongolia,MNG,2011,46.6487262591356,3.58612084,4.60903,0.230540007352829,14.2195707638129,3736.04201455077
Mongolia,MNG,2012,46.8940830192974,3.85800076,5.19521,0.23913000524044,17.3195757499293,4328.89001905655
Mongolia,MNG,2013,47.5860682131157,4.08932018,4.94077,0.232460007071495,18.8299051370593,4340.14310544449
Mongolia,MNG,2014,48.6804175336851,4.20989752,4.71485,0.223399996757507,19.7751107933309,4126.23975800524
Mongolia,MNG,2015,50.0825069416898,4.23154545,4.17699,0.156399995088577,21.8889056692574,3838.92126989984
Mongolia,MNG,2016,51.7262924597998,4.58008575,5.18061,0.183449998497963,24.3600537106501,3619.90026383792
Mongolia,MNG,2017,53.5127010854887,4.33954191,4.08859,0.134200006723404,21.408178288545,3645.96708669551
Netherlands,NLD,2000,47.5997257745678,7.7069602,4.58512,1.78980004787445,38.8344331746987,26225.1697734149
Netherlands,NLD,2001,47.7234584540489,8.05945873,4.69965,1.79609000682831,36.1791839881809,26955.7128032278
Netherlands,NLD,2002,47.778007873293,8.64913177,4.8059,1.74542999267578,35.6139240169608,29446.5330872868
Netherlands,NLD,2003,47.8837208072943,9.05657101,5.04042,1.78390002250671,37.7323943661972,35896.7504630706
Netherlands,NLD,2004,48.0486896030983,9.1107645,5.06297,1.7890100479126,36.646624705906,40611.3414353091
Netherlands,NLD,2005,48.1687259592709,9.09666824,5.1094,1.77388000488281,35.5782548476454,42165.396168388
Netherlands,NLD,2006,48.2136628287853,9.08055115,5.04402,1.74066996574402,36.3979695077277,45123.5432406426
Netherlands,NLD,2007,48.2541352334204,9.05292606,4.88683,1.67030000686646,35.3102961028475,52100.7996285947
Netherlands,NLD,2008,48.3834903176158,9.27660465,5.02905,1.62268996238708,34.0836836650324,58246.7026905874
Netherlands,NLD,2009,48.6378733180059,9.9929266,5.43156,1.66569995880127,35.171466519275,53172.0261581418
Netherlands,NLD,2010,48.9390840593512,10.15508747,5.48909,1.70404005050659,35.990409708769,51305.7338533973
Netherlands,NLD,2011,49.6322091919466,10.23357868,5.46304,1.8813099861145,35.9721636938636,54701.7728030611
Netherlands,NLD,2012,50.6460351411108,10.53898716,5.41022,1.9162700176239,36.7808269784914,50473.9442002689
Netherlands,NLD,2013,51.4289591698403,10.58363628,5.52656,2.15605998039246,36.8486021844269,52602.2860520766
Netherlands,NLD,2014,52.0149611855016,10.56703758,5.4589,2.17330002784729,36.4726779891355,53457.2234864322
Netherlands,NLD,2015,52.4272622166642,10.32393837,5.34816,2.1460599899292,35.8293866658847,45793.8135434697
Netherlands,NLD,2016,52.6972672445206,10.05679512,5.4796,2.15081000328064,37.0908022949685,46808.5291492503
Netherlands,NLD,2017,52.9840892509348,10.1082983,5.1751,2.17857003211975,35.8481148351004,49513.6817346384
New Zealand,NZL,2001,52.4848880657864,7.5789361,6.56049,1.10028994083405,0.280833138310321,13882.8568268586
New Zealand,NZL,2003,51.3493361554743,7.72169256,6.43753,1.14891004562378,0.264807831039114,21913.7081719961
New Zealand,NZL,2005,50.5037483038793,8.27334881,6.27896,1.12042999267578,0.18107493075222,27751.0654708859
New Zealand,NZL,2007,50.4429979608737,8.32904434,5.91594,1.15763998031616,0.153357931338162,32479.9817381467
New Zealand,NZL,2009,50.8301336353722,9.62076378,6.28067,1.25214004516602,3.2911796858208,28209.3623271229
New Zealand,NZL,2011,51.638047175897,9.51987362,6.93488,1.23222005367279,3.79716425292354,38388.5280906616
New Zealand,NZL,2013,52.7030093022296,9.36019325,6.69998,1.15337002277374,3.3144351916799,42977.388040868
New Zealand,NZL,2015,52.5174780979885,9.28344345,6.33739,1.22789001464844,2.85314924528608,38639.3501941427
New Zealand,NZL,2017,52.257834938067,8.9698782,6.28367,1.34905004501343,2.19970231997256,42913.186956185
Peru,PER,2000,64.0029073497459,4.41482639,3.22803,0.112659998238087,9.76379787031872,1945.41338451698
Peru,PER,2001,62.9840392352179,4.72161007,3.03712,0.110959999263287,10.2939272712347,1929.57273038846
Peru,PER,2002,62.0588640528885,4.93902588,2.82057,0.106140002608299,10.1825442099258,2007.37019626753
